permit_type,permit_type_desc,permit_num,permit_class_mapped,permit_class,work_class,condominium,project_name,description,property_legal_description,applied_date,issued_date,day_issued,calendar_year_issued,fiscal_year_issued,issuance_method,status_current,status_date,expires_date,completed_date,original_address_1,original_city,original_state,original_zip,latitude,longitude,location
PP,Plumbing Permit,2015-050655 PP,Residential,Residential,Irrigation,No,1103 BERGER ST,Install new irrigation system to residence,LOT 20 BLK 8 BROOKSDALE,4/30/15,4/30/15,THURSDAY,2015,2015,Permit Center,Final,5/15/15,5/15/15,5/15/15,1103 BERGER ST,EAST AUSTIN,TX,78721,30.26884173,-97.68769078,"(30.26884173, -97.68769078)"
PP,Plumbing Permit,2017-071443 PP,Residential,Residential,Irrigation,No,1613 CANTERBURY ST,New Irrigation installation with 6 zones to new residence,LOT 7 BLK 5 OLT 47 DIV O RIVERSIDE,11/16/15,6/13/17,TUESDAY,2017,2017,Permit Center,Final,6/14/17,6/14/17,6/14/17,1613 CANTERBURY ST,EAST AUSTIN,TX,78702,30.25604486,-97.72838783,"(30.25604486, -97.72838783)"
PP,Plumbing Permit,2018-055761 PP,Residential,Residential,Irrigation,No,2807 GOODWIN AVE UNIT B,Install irrigation system,LOT 1 KNAPE WOODROW SUBD,9/8/17,3/22/18,THURSDAY,2018,2018,Permit Center,Final,4/5/18,4/5/18,4/5/18,2807 GOODWIN AVE UNIT B,EAST AUSTIN,TX,78702,30.27059247,-97.70406585,"(30.27059247, -97.70406585)"
PP,Plumbing Permit,2018-065649 PP,Residential,Residential,Irrigation,No,2408 WILLOW ST,lawn sprinkler system,015 AC OF OLT 40 DIVISION O,4/5/18,4/6/18,FRIDAY,2018,2018,Permit Center,Final,7/18/18,7/18/18,7/18/18,2408 WILLOW ST,EAST AUSTIN,TX,78702,30.2537734,-97.71733553,"(30.2537734, -97.71733553)"
PP,Plumbing Permit,2019-186387 PP,Residential,Residential,Irrigation,No,1302 E M FRANKLIN AVE,New irrigation system,030 AC OF OLT 22 DIVISION B,9/17/19,9/18/19,WEDNESDAY,2019,2019,Permit Center,Withdrawn,10/25/19,4/21/20,10/24/19,1302 E M FRANKLIN AVE,EAST AUSTIN,TX,78721,30.27901519,-97.69502052,"(30.27901519, -97.69502052)"
MP,Mechanical Permit,2007-128124 MP,Residential,Renovations/Remodel,Addition,No,1404 CEDAR AVE,add 1st fl bedroom bathroom  covered balcony  2nd fl work studio  balocny Original permit 01014578  2 bathrooms 58 meter,LOT 4 BLK 15 OLT 3233 DIV B GLENWOOD ADDN,6/6/07,3/29/16,TUESDAY,2016,2016,Permit Center,Final,8/23/16,8/23/16,8/23/16,1404 CEDAR AVE,EAST AUSTIN,TX,78702,30.27722004,-97.71369608,"(30.27722004, -97.71369608)"
EP,Electrical Permit,2007-131603 EP,Commercial,C- 106 Mixed Use,New,No,1123 E 11TH ST,new construction of a three story loft  w one shell space and 8 parking spaces,LOT 5 BLK 7 OLT 23 DIV B ROBERTSON GEO L SUBD,5/14/07,4/21/15,TUESDAY,2015,2015,Permit Center,Final,3/4/16,3/4/16,3/4/16,1123 E 11TH ST,EAST AUSTIN,TX,78702,30.26864135,-97.72838381,"(30.26864135, -97.72838381)"
MP,Mechanical Permit,2007-131603 MP,Commercial,C- 106 Mixed Use,New,No,1123 E 11TH ST,new construction of a three story loft  w one shell space and 8 parking spaces,LOT 5 BLK 7 OLT 23 DIV B ROBERTSON GEO L SUBD,5/14/07,4/21/15,TUESDAY,2015,2015,Permit Center,Final,3/8/16,3/8/16,3/8/16,1123 E 11TH ST,EAST AUSTIN,TX,78702,30.26864135,-97.72838381,"(30.26864135, -97.72838381)"
PP,Plumbing Permit,2007-131603 PP,Commercial,C- 106 Mixed Use,New,No,1123 E 11TH ST,new construction of a three story loft  w one shell space and 8 parking spaces,LOT 5 BLK 7 OLT 23 DIV B ROBERTSON GEO L SUBD,5/14/07,2/4/15,WEDNESDAY,2015,2015,Permit Center,Final,3/18/16,3/18/16,3/18/16,1123 E 11TH ST,EAST AUSTIN,TX,78702,30.26864135,-97.72838381,"(30.26864135, -97.72838381)"
MP,Mechanical Permit,2008-001539 MP,Residential,Renovations/Remodel,Addition,No,3205 MERRIE LYNN AVE,adding new kitchen and master bedroom to rear of existing sf res,LOT 3 BLK C OLT 3234 DIV C MCQUOWN A N SUBD,1/8/08,9/9/16,FRIDAY,2016,2016,Online,Final,9/14/16,9/14/16,9/14/16,3205 MERRIE LYNN AVE,EAST AUSTIN,TX,78722,30.28592807,-97.71196708,"(30.28592807, -97.71196708)"
MP,Mechanical Permit,2008-050050 MP,Residential,Single Family Houses,New,No,1127 NICKOLS AVE,New 2story singlefamily residence wcovered porch,LOT 12 BLK 4 CHERNOSKY NO 8,5/5/08,9/26/17,TUESDAY,2017,2017,Permit Center,Final,4/5/18,4/5/18,4/5/18,1127 NICKOLS AVE,EAST AUSTIN,TX,78721,30.27456831,-97.68584171,"(30.27456831, -97.68584171)"
PP,Plumbing Permit,2008-050050 PP,Residential,Single Family Houses,New,No,1127 NICKOLS AVE,New 2story singlefamily residence wcovered porch,LOT 12 BLK 4 CHERNOSKY NO 8,5/5/08,9/19/17,TUESDAY,2017,2017,Permit Center,Final,3/27/18,3/27/18,3/27/18,1127 NICKOLS AVE,EAST AUSTIN,TX,78721,30.27456831,-97.68584171,"(30.27456831, -97.68584171)"
EP,Electrical Permit,2008-070887 EP,Residential,Renovations/Remodel,Remodel,No,1145 PERRY RD,Remodel 1st fl existing kitchen livingroom bedroom den  electric wiring replace water heater  plumbing in kitchen and install new HVAC,ABS 22 SUR 29 TANNEHILL J C ACR 20113,9/8/08,6/1/17,THURSDAY,2017,2017,Permit Center,Final,6/5/17,6/5/17,6/5/17,1145 PERRY RD,EAST AUSTIN,TX,78721,30.25955005,-97.68445078,"(30.25955005, -97.68445078)"
PP,Plumbing Permit,2008-070887 PP,Residential,Renovations/Remodel,Remodel,No,1145 PERRY RD,Remodel 1st fl existing kitchen livingroom bedroom den  electric wiring replace water heater  plumbing in kitchen and install new HVAC,ABS 22 SUR 29 TANNEHILL J C ACR 20113,9/8/08,5/22/17,MONDAY,2017,2017,Permit Center,Final,6/20/17,6/20/17,6/20/17,1145 PERRY RD,EAST AUSTIN,TX,78721,30.25955005,-97.68445078,"(30.25955005, -97.68445078)"
