SiteName,ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
AKINS H S,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,06/01/2016 12:00:00 AM,2673.0,1498.0,332.0,842.0,687826.59
ALLISON EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON EL,06/01/2016 12:00:00 AM,529.0,470.0,32.0,26.0,312450.55000000005
ALTERNATIVE LEARNING CTR,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALTERNATIVE LEARNING CTR,06/01/2016 12:00:00 AM,155.0,124.0,6.0,25.0,79520.88
ANDERSON H S,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDERSON H S,06/01/2016 12:00:00 AM,2259.0,472.0,95.0,1692.0,200577.49
ANDREWS EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDREWS EL,06/01/2016 12:00:00 AM,588.0,545.0,17.0,26.0,387794.56000000006
ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,06/01/2016 12:00:00 AM,784.0,373.0,88.0,323.0,208084.54
AUSTIN H S,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN H S,06/01/2016 12:00:00 AM,2061.0,513.0,123.0,1425.0,204362.95
BAILEY MIDDLE,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE,06/01/2016 12:00:00 AM,880.0,196.0,61.0,622.0,111990.31999999999
BALDWIN ELEMENTARY,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY,06/01/2016 12:00:00 AM,791.0,94.0,17.0,681.0,66625.89
BARANOFF EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF EL,06/01/2016 12:00:00 AM,991.0,95.0,33.0,863.0,69091.97000000002
BARRINGTON EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON EL,06/01/2016 12:00:00 AM,638.0,578.0,26.0,34.0,408612.70999999996
BARTON HILLS EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS EL,06/01/2016 12:00:00 AM,410.0,30.0,3.0,377.0,25483.39
BECKER EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER EL,06/01/2016 12:00:00 AM,392.0,173.0,5.0,214.0,105651.82
BEDICHEK MIDDLE,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,06/01/2016 12:00:00 AM,912.0,653.0,104.0,156.0,330883.79
BLACKSHEAR EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR EL,06/01/2016 12:00:00 AM,301.0,228.0,20.0,54.0,154819.93
BLANTON EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON EL,06/01/2016 12:00:00 AM,491.0,381.0,22.0,88.0,249804.77
BLAZIER ELEMENTARY SCHOOL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,06/01/2016 12:00:00 AM,860.0,539.0,108.0,213.0,384523.57
BOONE EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE EL,06/01/2016 12:00:00 AM,574.0,240.0,41.0,293.0,172552.61
BOWIE H S,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE H S,06/01/2016 12:00:00 AM,2902.0,295.0,104.0,2503.0,127119.5
BRENTWOOD EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD EL,06/01/2016 12:00:00 AM,619.0,142.0,27.0,449.0,85060.72000000002
BROOKE EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE EL,06/01/2016 12:00:00 AM,262.0,228.0,19.0,15.0,157767.65000000002
BRYKER WOODS EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS EL,06/01/2016 12:00:00 AM,401.0,33.0,7.0,362.0,23665.61
BURNET MIDDLE,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,06/01/2016 12:00:00 AM,1054.0,933.0,53.0,68.0,537040.48
CAMPBELL EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CAMPBELL EL,06/01/2016 12:00:00 AM,217.0,190.0,12.0,15.0,139836.03999999998
CASEY EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASEY EL,06/01/2016 12:00:00 AM,615.0,338.0,63.0,215.0,249767.20000000004
