ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,05/01/2019 12:00:00 AM,2789.0,1461.0,279.0,1050.0,843048.7200000001
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON EL,05/01/2019 12:00:00 AM,523.0,523.0,0.0,0.0,388620.38
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALTERNATIVE LEARNING CTR,05/01/2019 12:00:00 AM,167.0,104.0,7.0,57.0,56917.61
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDERSON H S,05/01/2019 12:00:00 AM,2210.0,479.0,75.0,1657.0,152176.59
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDREWS EL,05/01/2019 12:00:00 AM,408.0,408.0,0.0,0.0,307881.49
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,05/01/2019 12:00:00 AM,856.0,359.0,81.0,417.0,189911.01999999996
2018-2019,4199,AUSTIN ACHIEVE PUBLIC SCHOOLS INC.,TRAVIS,Educational Institution,Charter,AUSTIN ACHIEVE EL,05/01/2019 12:00:00 AM,927.0,809.0,75.0,43.0,618370.54
2018-2019,4199,AUSTIN ACHIEVE PUBLIC SCHOOLS INC.,TRAVIS,Educational Institution,Charter,AUSTIN ACHIEVE MIDDLE,05/01/2019 12:00:00 AM,634.0,571.0,45.0,18.0,536634.14
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN H S,06/01/2019 12:00:00 AM,2306.0,518.0,76.0,1712.0,155816.07
2018-2019,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,AYERS HOUSE,06/01/2019 12:00:00 AM,16.0,16.0,0.0,0.0,14047.8
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE,05/01/2019 12:00:00 AM,1005.0,283.0,52.0,671.0,137646.99
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY,05/01/2019 12:00:00 AM,783.0,118.0,17.0,648.0,82542.71
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF EL,05/01/2019 12:00:00 AM,998.0,112.0,24.0,862.0,70823.5
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON EL,05/01/2019 12:00:00 AM,683.0,683.0,0.0,0.0,563948.97
2018-2019,1071,EANES ISD,TRAVIS,Educational Institution,Public,BARTON CREEK EL,05/01/2019 12:00:00 AM,490.0,11.0,0.0,479.0,9846.53
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS EL,05/01/2019 12:00:00 AM,446.0,27.0,10.0,409.0,29257.380000000005
2018-2019,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,BATY EL,06/01/2019 12:00:00 AM,486.0,445.0,17.0,24.0,374893.26
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER EL,05/01/2019 12:00:00 AM,448.0,138.0,9.0,301.0,86985.34
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,05/01/2019 12:00:00 AM,851.0,628.0,81.0,142.0,294135.33999999997
2018-2019,1074,LAKE TRAVIS ISD,TRAVIS,Educational Institution,Public,BEE CAVE ELEMENTARY,06/01/2019 12:00:00 AM,740.0,35.0,6.0,698.0,34149.57
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR EL,05/01/2019 12:00:00 AM,422.0,244.0,21.0,157.0,194088.58
2018-2019,1070,MANOR ISD,TRAVIS,Educational Institution,Public,BLAKE MANOR ELEMENTARY,05/01/2019 12:00:00 AM,570.0,432.0,49.0,89.0,302916.23
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON EL,05/01/2019 12:00:00 AM,500.0,303.0,24.0,173.0,245454.08
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,05/01/2019 12:00:00 AM,887.0,530.0,90.0,266.0,340216.2
2018-2019,1070,MANOR ISD,TRAVIS,Educational Institution,Public,BLUEBONNET TRAIL EL,05/01/2019 12:00:00 AM,553.0,340.0,47.0,166.0,243976.8
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE EL,05/01/2019 12:00:00 AM,522.0,230.0,38.0,254.0,134463.09
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE H S,05/01/2019 12:00:00 AM,2919.0,275.0,72.0,2572.0,103394.12
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD EL,05/01/2019 12:00:00 AM,673.0,124.0,15.0,534.0,74853.23999999999
2018-2019,1071,EANES ISD,TRAVIS,Educational Institution,Public,BRIDGE POINT EL,05/01/2019 12:00:00 AM,635.0,12.0,0.0,622.0,13547.789999999999
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE EL,05/01/2019 12:00:00 AM,278.0,278.0,0.0,0.0,221718.03
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,BROOKHOLLOW EL,05/01/2019 12:00:00 AM,477.0,177.0,52.0,249.0,135761.49
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS EL,05/01/2019 12:00:00 AM,427.0,45.0,6.0,375.0,28843.57
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,05/01/2019 12:00:00 AM,1048.0,829.0,42.0,176.0,489216.75999999995
2018-2019,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,Brownwood Halfway House,06/01/2019 12:00:00 AM,12.0,12.0,0.0,0.0,10323.250000000002
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,CALDWELL ELEMENTARY,05/01/2019 12:00:00 AM,630.0,341.0,65.0,224.0,245120.66999999998
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CAMPBELL EL,05/01/2019 12:00:00 AM,193.0,193.0,0.0,0.0,142124.1
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASEY EL,05/01/2019 12:00:00 AM,609.0,369.0,56.0,184.0,293309.25999999995
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASIS EL,05/01/2019 12:00:00 AM,754.0,64.0,0.0,690.0,28600.42
2018-2019,1071,EANES ISD,TRAVIS,Educational Institution,Public,CEDAR CREEK EL,05/01/2019 12:00:00 AM,529.0,24.0,0.0,505.0,15428.89
2018-2019,1061,CEDARS INTERNATIONAL ACADEMY,TRAVIS,Educational Institution,Charter,CEDARS ACADEMY NEXT GENERATION H S AT HIGHLAND,05/01/2019 12:00:00 AM,152.0,96.0,10.0,46.0,82310.93999999999
2018-2019,1061,CEDARS INTERNATIONAL ACADEMY,TRAVIS,Educational Institution,Charter,CEDARS INTERNATIONAL ACADEMY,05/01/2019 12:00:00 AM,392.0,325.0,18.0,50.0,217042.11
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,CELE M S,05/01/2019 12:00:00 AM,1160.0,375.0,100.0,685.0,305847.31
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CLAYTON EL,05/01/2019 12:00:00 AM,830.0,27.0,2.0,801.0,26540.239999999998
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COOK EL,05/01/2019 12:00:00 AM,510.0,510.0,0.0,0.0,358225.19
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,COPPERFIELD EL,05/01/2019 12:00:00 AM,410.0,281.0,48.0,81.0,271277.57
2018-2019,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,COTTRELL HOUSE,06/01/2019 12:00:00 AM,27.0,27.0,0.0,0.0,35324.99999999999
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COVINGTON MIDDLE,05/01/2019 12:00:00 AM,711.0,366.0,63.0,282.0,174853.69999999998
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COWAN ELEMENTARY,05/01/2019 12:00:00 AM,822.0,269.0,36.0,517.0,147547.83
2018-2019,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,CREEDMOOR EL,06/01/2019 12:00:00 AM,573.0,454.0,62.0,58.0,433131.55000000005
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CROCKETT H S,05/01/2019 12:00:00 AM,1459.0,841.0,138.0,479.0,304238.41000000003
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CUNNINGHAM EL,05/01/2019 12:00:00 AM,451.0,240.0,39.0,172.0,180475.97000000003
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,Casa Antigua - San Benito,06/01/2019 12:00:00 AM,271.0,271.0,0.0,0.0,545485.3700000001
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,Casa Grande - San Benito,06/01/2019 12:00:00 AM,235.0,235.0,0.0,0.0,518428.23999999993
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,Casa Montezuma,06/01/2019 12:00:00 AM,196.0,196.0,0.0,0.0,424663.57999999996
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,Casa Padre,06/01/2019 12:00:00 AM,1399.0,1399.0,0.0,0.0,3184149.25
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,Casa Quetzal - Houston,06/01/2019 12:00:00 AM,248.0,248.0,0.0,0.0,551284.85
2018-2019,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,Casa Sunzal - Houston,06/01/2019 12:00:00 AM,421.0,421.0,0.0,0.0,61525.12
