ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement,Lat,Lng,Address,Zipcode
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,06/01/2016 12:00:00 AM,2673.0,1498.0,332.0,842.0,687826.59,30.1487015,-97.8017043,"10701 S 1st St, Austin, TX 78748, USA",78748.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,06/01/2017 12:00:00 AM,2640.0,1414.0,290.0,936.0,828531.0399999998,30.1487015,-97.8017043,"10701 S 1st St, Austin, TX 78748, USA",78748.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,05/01/2018 12:00:00 AM,2745.0,1398.0,316.0,1031.0,799116.5200000001,30.1487015,-97.8017043,"10701 S 1st St, Austin, TX 78748, USA",78748.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,05/01/2019 12:00:00 AM,2789.0,1461.0,279.0,1050.0,843048.7200000002,30.1487015,-97.8017043,"10701 S 1st St, Austin, TX 78748, USA",78748.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON ELEMENTARY,06/01/2016 12:00:00 AM,529.0,470.0,32.0,26.0,312450.55000000005,30.2358469,-97.691485,"515 Vargas Rd, Austin, TX 78741, USA",78741.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON ELEMENTARY,06/01/2017 12:00:00 AM,459.0,409.0,18.0,32.0,268526.03,30.2358469,-97.691485,"515 Vargas Rd, Austin, TX 78741, USA",78741.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON ELEMENTARY,05/01/2018 12:00:00 AM,482.0,482.0,0.0,0.0,357761.75,30.2358469,-97.691485,"515 Vargas Rd, Austin, TX 78741, USA",78741.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON ELEMENTARY,05/01/2019 12:00:00 AM,523.0,523.0,0.0,0.0,388620.38,30.2358469,-97.691485,"515 Vargas Rd, Austin, TX 78741, USA",78741.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALTERNATIVE LEARNING CTR AUSTIN,06/01/2016 12:00:00 AM,155.0,124.0,6.0,25.0,79520.88,30.255675300000004,-97.6971523,"4900 Gonzales St, Austin, TX 78702, USA",78702.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALTERNATIVE LEARNING CTR AUSTIN,06/01/2017 12:00:00 AM,145.0,111.0,6.0,28.0,84981.0,30.255675300000004,-97.6971523,"4900 Gonzales St, Austin, TX 78702, USA",78702.0
