DISTRICT,D200A001S16R,D300A001S16R,D400A001S16R,DA00A001S16R,DB00A001S16R,DE00A001S16R,DF00A001S16R,DH00A001S16R,DI00A001S16R,DL00A001S16R,DM00A001S16R,DR00A001S16R,DS00A001S16R,DW00A001S16R
'227803,86,90,-1,63,39,54,65,57,-1,43,61,51,30,82
'227804,69,95,.,86,78,79,87,80,.,70,84,70,58,92
'227805,-1,.,.,75,75,72,76,67,.,.,74,56,47,-1
'227806,75,.,.,58,30,23,63,38,.,32,51,31,-1,100
'227814,100,100,-1,96,86,-1,97,94,-1,-1,96,87,88,97
'227816,87,92,.,76,76,69,78,68,48,53,74,62,43,88
'227817,-1,100,.,74,71,73,74,73,.,59,72,64,17,81
'227819,86,-1,.,78,62,72,80,76,.,55,76,52,54,92
'227820,87,88,.,74,75,74,77,74,.,61,71,67,32,83
'227821,57,88,.,69,33,48,66,61,.,20,71,54,23,76
'227824,-1,.,.,65,61,65,69,65,-1,49,61,49,24,63
'227825,92,.,.,68,62,68,75,68,.,61,63,60,24,76
'227826,82,-1,.,60,35,40,64,44,.,31,57,36,43,83
'227827,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227828,.,.,.,54,60,48,54,48,.,-1,55,52,-1,64
'227901,88,91,84,76,60,64,79,68,77,58,73,58,40,93
'227904,82,90,82,78,69,70,81,74,84,65,76,63,38,88
'227907,66,84,80,63,58,60,67,62,57,53,60,54,30,77
'227909,97,98,-1,96,88,87,96,93,90,79,95,80,73,96
'227910,79,71,.,64,60,63,69,64,70,55,60,54,31,69
'227912,74,93,100,82,90,69,84,77,-1,68,80,61,39,83
'227913,94,98,100,92,81,77,94,84,98,67,91,77,60,94
