DISTRICT,D200A001S17R,D300A001S17R,D400A001S17R,DA00A001S17R,DB00A001S17R,DE00A001S17R,DF00A001S17R,DH00A001S17R,DI00A001S17R,DL00A001S17R,DM00A001S17R,DR00A001S17R,DS00A001S17R,DW00A001S17R
'227803,83,96,-1,65,52,55,68,58,83,47,62,50,32,87
'227804,81,95,.,86,80,76,88,76,.,64,83,74,53,93
'227805,100,-1,.,74,75,69,78,59,.,.,70,53,44,.
'227806,100,-1,-1,70,41,39,79,58,-1,-1,58,43,-1,93
'227814,89,92,100,96,92,.,97,97,-1,67,95,77,68,97
'227816,75,89,.,76,74,70,79,70,65,57,74,64,43,88
'227817,100,94,.,76,70,74,77,75,.,64,75,64,37,88
'227819,100,100,.,73,73,70,79,69,.,66,69,70,21,89
'227820,73,100,.,70,68,69,74,70,.,55,66,62,31,78
'227821,60,56,.,72,36,51,70,62,.,30,73,60,30,79
'227824,-1,.,.,65,64,65,63,65,.,50,66,58,39,55
'227825,85,.,.,71,66,70,74,71,.,60,68,62,29,86
'227826,92,-1,.,64,55,40,62,48,.,32,67,28,46,86
'227827,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227828,.,-1,.,57,-1,71,46,56,.,45,67,52,-1,71
'227901,88,91,85,76,61,64,78,69,76,58,74,58,43,93
'227904,84,90,89,78,69,69,81,74,79,63,75,65,41,88
'227907,66,77,100,62,56,59,65,61,79,52,58,52,32,76
'227909,98,98,-1,96,90,90,96,94,94,84,96,79,75,96
'227910,82,71,-1,63,59,61,67,63,72,55,59,54,32,71
'227912,81,100,100,82,100,71,84,79,-1,62,81,63,39,83
'227913,94,99,100,93,83,78,93,84,93,66,92,78,63,95
