DISTRICT,DD000A001219R,DD000A001319R,DD000A001S19R,DD200A001219R,DD200A001319R,DD200A001S19R,DD300A001219R,DD300A001319R,DD300A001S19R,DD400A001219R,DD400A001319R,DD400A001S19R,DDA00A001219R,DDA00A001319R,DDA00A001S19R,DDB00A001219R,DDB00A001319R,DDB00A001S19R,DDE00A001219R,DDE00A001319R,DDE00A001S19R,DDF00A001219R,DDF00A001319R,DDF00A001S19R,DDH00A001219R,DDH00A001319R,DDH00A001S19R,DDI00A001219R,DDI00A001319R,DDI00A001S19R,DDL00A001219R,DDL00A001319R,DDL00A001S19R,DDM00A001219R,DDM00A001319R,DDM00A001S19R,DDR00A001219R,DDR00A001319R,DDR00A001S19R,DDS00A001219R,DDS00A001319R,DDS00A001S19R,DDW00A001219R,DDW00A001319R,DDW00A001S19R,DNC00A001219R,DNC00A001319R,DNC00A001S19R,DNM00A001219R,DNM00A001319R,DNM00A001S19R,DNS00A001219R,DNS00A001319R,DNS00A001S19R
'227803,25,7,59,51,29,73,60,27,97,.,.,.,32,12,66,23,11,61,26,9,61,35,13,69,27,8,62,-1,-1,-1,22,6,54,30,12,62,23,7,57,13,3,32,56,30,82,38,15,70,25,8,60,29,11,64
'227804,42,20,77,71,41,93,82,53,98,.,.,.,61,33,87,44,19,79,41,18,77,62,31,88,41,17,75,-1,-1,-1,27,12,68,61,36,86,27,12,69,24,6,56,77,46,96,60,34,86,64,32,89,55,35,82
'227805,-1,-1,-1,33,17,75,.,.,.,.,.,.,40,14,68,43,15,69,37,13,65,42,14,73,20,6,58,.,.,.,-1,-1,-1,39,14,64,16,3,47,26,11,39,.,.,.,48,17,78,34,11,60,0,0,25
'227806,5,0,45,-1,-1,-1,.,.,.,.,.,.,35,20,64,16,8,39,2,0,32,41,23,73,26,13,60,60,40,80,5,0,45,24,14,47,10,1,35,18,0,47,53,30,83,33,21,55,36,20,66,.,.,.
'227814,39,5,86,76,44,100,77,42,97,-1,-1,-1,77,41,96,67,29,93,.,.,.,77,44,96,72,38,95,-1,-1,-1,38,3,85,77,39,96,44,13,87,64,18,82,80,45,96,80,47,98,74,37,95,63,42,84
'227816,39,15,71,53,31,81,71,42,90,82,55,100,48,22,76,50,21,77,42,16,73,50,23,79,40,16,71,-1,-1,-1,31,10,65,46,21,74,37,13,69,21,10,42,64,34,88,55,27,81,40,17,71,41,16,75
'227817,30,7,71,61,33,83,80,33,100,.,.,.,44,18,80,49,22,86,40,15,78,44,18,82,38,13,76,.,.,.,24,5,64,45,19,79,30,7,69,13,5,31,79,53,100,39,14,78,51,24,83,46,8,92
'227819,46,25,77,73,45,91,63,50,100,.,.,.,53,29,86,36,36,79,36,14,78,48,27,85,45,19,83,.,.,.,43,23,75,57,31,87,42,21,79,8,5,53,78,60,96,56,32,88,43,21,81,33,17,67
'227820,42,18,74,44,19,79,74,48,90,50,30,70,46,21,75,41,19,71,45,20,75,49,22,79,47,21,77,53,25,76,34,13,68,43,19,72,35,13,68,19,7,41,52,28,78,51,24,79,45,20,75,27,9,60
'227821,4,4,38,37,17,63,40,0,80,.,.,.,42,21,75,0,0,17,31,16,66,45,25,74,30,10,65,.,.,.,14,14,43,40,19,76,29,11,65,13,5,34,48,27,81,44,22,78,37,19,70,67,67,100
'227824,25,8,56,50,0,63,.,.,.,.,.,.,32,10,65,38,16,65,33,11,65,34,10,66,31,9,64,.,.,.,23,7,54,31,10,63,22,6,54,28,13,43,52,32,84,44,13,69,26,9,62,6,0,34
'227825,29,10,61,52,24,71,.,.,.,.,.,.,32,11,63,36,11,67,32,11,63,32,11,66,32,11,63,.,.,.,22,6,55,33,11,61,23,6,57,11,3,28,71,26,90,51,14,74,29,11,62,12,7,33
'227826,13,1,48,50,25,92,63,0,100,.,.,.,42,18,77,45,16,80,19,2,59,45,21,76,29,11,62,.,.,.,12,0,47,40,14,78,14,0,49,26,3,59,58,27,94,55,26,87,27,7,66,.,.,.
'227827,14,0,46,60,20,100,-1,-1,-1,.,.,.,25,3,55,23,3,46,21,3,49,25,3,56,19,3,42,-1,-1,-1,14,0,46,24,2,52,19,0,51,.,.,.,27,2,65,.,.,.,25,3,55,0,0,40
'227828,15,0,65,-1,-1,-1,.,.,.,.,.,.,19,3,68,0,0,71,17,2,65,21,3,70,17,2,65,.,.,.,15,0,65,17,3,66,16,3,59,0,0,17,67,17,83,.,.,.,19,3,68,-1,-1,-1
'227829,17,3,41,50,21,79,86,71,100,.,.,.,52,26,83,28,13,68,38,15,72,51,26,82,42,17,72,.,.,.,17,3,41,52,26,85,31,9,63,14,0,36,57,30,89,.,.,.,52,26,83,43,43,100
'227901,35,14,66,70,41,89,79,54,91,51,18,84,54,27,78,34,12,63,36,13,66,55,28,81,41,16,70,50,25,82,29,11,61,52,26,76,29,9,61,26,9,47,76,46,93,55,29,80,47,22,73,52,27,82
'227904,41,18,72,59,30,84,72,44,90,62,13,94,51,25,78,40,15,70,38,15,70,54,26,82,44,19,74,68,37,96,29,11,63,49,24,76,28,9,63,20,5,41,67,37,88,56,28,82,42,18,71,46,20,77
'227907,31,12,64,48,25,76,56,29,81,62,29,86,37,14,68,33,11,64,34,12,65,39,15,72,35,13,67,21,0,71,28,11,61,34,14,64,27,9,60,23,7,37,49,25,75,38,15,68,35,13,66,29,11,66
'227909,67,41,90,86,62,97,90,72,98,89,56,100,82,54,96,60,35,83,62,34,86,83,56,96,74,44,93,58,29,67,50,24,79,81,53,95,46,19,76,46,17,72,82,53,96,83,55,96,79,51,94,81,46,97
'227910,29,10,61,53,23,82,43,18,75,-1,-1,-1,31,11,63,28,8,57,30,10,62,34,12,67,31,11,62,36,0,50,24,7,57,29,10,59,23,7,56,16,4,34,45,20,72,34,12,66,25,8,56,18,7,51
'227912,31,9,70,56,24,89,100,44,100,100,0,100,60,24,86,15,0,54,43,15,78,62,27,88,46,18,78,17,7,66,17,5,52,58,22,84,23,6,63,25,9,51,65,26,88,61,23,87,58,25,84,52,22,88
'227913,39,15,73,79,53,94,87,63,97,83,58,100,72,42,91,54,25,83,46,19,76,73,43,92,57,28,83,77,49,95,32,10,68,70,42,90,44,17,75,33,15,59,74,44,93,73,44,91,69,39,90,68,39,93
