Year,Campus_Number,Asian-AllSub Score,Hispanic/Latino-AllSub Score,Native Hawaiian/Other Pacific Islander-AllSub Score,Multiracial-AllSub Score,White-AllSub Score,Black or African American-AllSub Score,American Indian or Alaska Native-AllSub Score,Econ Disadv-AllSub Score,At Risk-AllSub Score
2015,227803001,86,55,.,100,92,63,-1,58,47
2015,227803101,100,81,.,100,95,56,-1,80,77
2015,227803102,-1,62,.,-1,91,45,.,60,57
2015,227804101,94,86,.,91,94,77,.,83,75
2015,227804102,-1,69,.,-1,96,75,.,75,77
2015,227805041,.,-1,.,-1,-1,81,.,82,71
2015,227805101,.,86,.,-1,-1,75,.,75,50
2015,227806005,.,.,.,.,.,.,.,.,.
2015,227806009,.,.,.,.,.,.,.,.,.
2015,227806015,.,-1,.,.,-1,-1,.,-1,29
2015,227806017,.,-1,.,.,.,.,.,-1,-1
2015,227806023,.,.,.,.,.,.,.,.,.
2015,227806024,.,-1,.,.,.,.,.,-1,-1
2015,227806025,.,38,.,.,-1,33,.,38,32
2015,227806029,.,.,.,.,.,.,.,.,.
2015,227806030,.,.,.,.,.,.,.,.,.
2015,227806031,.,-1,.,-1,100,-1,.,.,-1
2015,227806032,.,.,.,.,.,.,.,.,.
2015,227806034,.,.,.,.,.,.,.,.,.
2015,227806035,.,.,.,.,.,.,.,.,.
2015,227814001,96,95,.,100,96,92,-1,.,85
2015,227816001,95,65,.,-1,91,71,-1,67,60
2015,227816002,96,84,.,93,92,90,.,84,76
2015,227816003,96,79,.,87,80,77,.,77,67
2015,227816004,92,79,.,89,90,81,-1,78,75
2015,227816005,-1,54,.,-1,75,57,.,52,46
2015,227816101,100,72,.,.,87,76,-1,72,63
2015,227817101,100,69,.,-1,83,67,-1,69,60
2015,227819101,-1,84,.,-1,94,86,.,79,78
2015,227820001,-1,87,.,-1,.,86,.,88,81
2015,227820041,.,78,.,.,-1,88,.,78,64
2015,227820042,-1,82,.,-1,80,95,.,82,78
2015,227820043,.,69,.,-1,-1,86,.,68,66
2015,227820044,.,76,.,-1,100,78,.,77,68
2015,227820101,.,67,.,-1,100,58,.,67,64
2015,227820102,.,65,.,.,-1,90,.,64,60
2015,227820103,.,.,.,.,.,.,.,.,.
2015,227820104,.,.,.,.,.,.,.,.,.
2015,227821101,-1,68,.,39,83,43,.,59,57
2015,227824001,.,60,.,.,-1,63,.,61,53
2015,227824002,.,68,.,-1,79,65,.,68,63
2015,227825001,.,77,.,-1,96,72,-1,76,67
2015,227826101,-1,65,.,-1,93,-1,.,64,53
2015,227827001,.,.,.,.,.,.,.,.,.
2015,227901002,91,83,-1,97,95,77,-1,78,75
2015,227901004,67,71,.,88,83,76,75,71,65
2015,227901005,93,81,-1,86,97,68,92,74,72
2015,227901006,77,68,.,89,81,64,-1,67,60
2015,227901007,46,70,.,88,75,68,.,68,63
2015,227901008,100,75,-1,86,89,73,-1,75,66
2015,227901009,92,86,.,94,97,74,-1,83,77
2015,227901012,.,.,.,.,.,.,.,.,.
2015,227901013,96,93,-1,95,97,91,100,88,84
