Year,County Name,District Name,District Number,Campus Name,Campus Number,Ethnicity Name,Enrollment by Ethnicity
2014-2015,TRAVIS COUNTY,EANES ISD,227909,ADULT TRANSITION SERVICES,227909005,Asian,-9999999
2014-2015,TRAVIS COUNTY,EANES ISD,227909,ADULT TRANSITION SERVICES,227909005,Hispanic,5
2014-2015,TRAVIS COUNTY,EANES ISD,227909,ADULT TRANSITION SERVICES,227909005,Two or More Races,-9999999
2014-2015,TRAVIS COUNTY,EANES ISD,227909,ADULT TRANSITION SERVICES,227909005,White,31
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,AKINS H S,227901017,Black or African American,193
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,AKINS H S,227901017,American Indian or Alaska Native,-9999999
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,AKINS H S,227901017,Asian,72
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,AKINS H S,227901017,Hispanic,2069
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,AKINS H S,227901017,Native Hawaiian/Other or Pacific Islander,-9999999
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,AKINS H S,227901017,Two or More Races,50
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,AKINS H S,227901017,White,277
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ALLISON EL,227901101,Black or African American,29
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ALLISON EL,227901101,Hispanic,454
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ALLISON EL,227901101,Native Hawaiian/Other or Pacific Islander,-9999999
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ALLISON EL,227901101,Two or More Races,-9999999
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ALLISON EL,227901101,White,-9999999
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ALTERNATIVE LEARNING CENTER,227901012,Black or African American,25
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ALTERNATIVE LEARNING CENTER,227901012,American Indian or Alaska Native,-9999999
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ALTERNATIVE LEARNING CENTER,227901012,Hispanic,113
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ALTERNATIVE LEARNING CENTER,227901012,Two or More Races,5
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ALTERNATIVE LEARNING CENTER,227901012,White,21
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDERSON H S,227901009,Black or African American,127
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDERSON H S,227901009,American Indian or Alaska Native,6
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDERSON H S,227901009,Asian,149
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDERSON H S,227901009,Hispanic,710
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDERSON H S,227901009,Native Hawaiian/Other or Pacific Islander,-9999999
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDERSON H S,227901009,Two or More Races,70
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDERSON H S,227901009,White,1161
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDREWS EL,227901102,Black or African American,101
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDREWS EL,227901102,Asian,15
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDREWS EL,227901102,Hispanic,506
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDREWS EL,227901102,Two or More Races,-9999999
2014-2015,TRAVIS COUNTY,AUSTIN ISD,227901,ANDREWS EL,227901102,White,32
