Year,District_Name,District_Number,Campus_Name,Campus_Number,Grade_Group,Ethnicity,Enrollment
2015,EANES ISD,227909,ADULT TRANSITION SERVICES,227909005,HIGH SCHOOL,Asian,-9999999
2015,EANES ISD,227909,ADULT TRANSITION SERVICES,227909005,HIGH SCHOOL,Hispanic/Latino,5
2015,EANES ISD,227909,ADULT TRANSITION SERVICES,227909005,HIGH SCHOOL,Multiracial,-9999999
2015,EANES ISD,227909,ADULT TRANSITION SERVICES,227909005,HIGH SCHOOL,White,31
2015,AUSTIN ISD,227901,AKINS H S,227901017,HIGH SCHOOL,Black or African American,193
2015,AUSTIN ISD,227901,AKINS H S,227901017,HIGH SCHOOL,American Indian or Alaska Native,-9999999
2015,AUSTIN ISD,227901,AKINS H S,227901017,HIGH SCHOOL,Asian,72
2015,AUSTIN ISD,227901,AKINS H S,227901017,HIGH SCHOOL,Hispanic/Latino,2069
2015,AUSTIN ISD,227901,AKINS H S,227901017,HIGH SCHOOL,Native Hawaiian/Other Pacific Islander,-9999999
2015,AUSTIN ISD,227901,AKINS H S,227901017,HIGH SCHOOL,Multiracial,50
2015,AUSTIN ISD,227901,AKINS H S,227901017,HIGH SCHOOL,White,277
2015,AUSTIN ISD,227901,ALLISON EL,227901101,ELEMENTARY,Black or African American,29
2015,AUSTIN ISD,227901,ALLISON EL,227901101,ELEMENTARY,Hispanic/Latino,454
2015,AUSTIN ISD,227901,ALLISON EL,227901101,ELEMENTARY,Native Hawaiian/Other Pacific Islander,-9999999
2015,AUSTIN ISD,227901,ALLISON EL,227901101,ELEMENTARY,Multiracial,-9999999
2015,AUSTIN ISD,227901,ALLISON EL,227901101,ELEMENTARY,White,-9999999
2015,AUSTIN ISD,227901,ALTERNATIVE LEARNING CENTER,227901012,ELEMENTARY / SECONDARY,Black or African American,25
2015,AUSTIN ISD,227901,ALTERNATIVE LEARNING CENTER,227901012,ELEMENTARY / SECONDARY,American Indian or Alaska Native,-9999999
2015,AUSTIN ISD,227901,ALTERNATIVE LEARNING CENTER,227901012,ELEMENTARY / SECONDARY,Hispanic/Latino,113
2015,AUSTIN ISD,227901,ALTERNATIVE LEARNING CENTER,227901012,ELEMENTARY / SECONDARY,Multiracial,5
2015,AUSTIN ISD,227901,ALTERNATIVE LEARNING CENTER,227901012,ELEMENTARY / SECONDARY,White,21
2015,AUSTIN ISD,227901,ANDERSON H S,227901009,HIGH SCHOOL,Black or African American,127
2015,AUSTIN ISD,227901,ANDERSON H S,227901009,HIGH SCHOOL,American Indian or Alaska Native,6
2015,AUSTIN ISD,227901,ANDERSON H S,227901009,HIGH SCHOOL,Asian,149
2015,AUSTIN ISD,227901,ANDERSON H S,227901009,HIGH SCHOOL,Hispanic/Latino,710
2015,AUSTIN ISD,227901,ANDERSON H S,227901009,HIGH SCHOOL,Native Hawaiian/Other Pacific Islander,-9999999
2015,AUSTIN ISD,227901,ANDERSON H S,227901009,HIGH SCHOOL,Multiracial,70
2015,AUSTIN ISD,227901,ANDERSON H S,227901009,HIGH SCHOOL,White,1161
2015,AUSTIN ISD,227901,ANDREWS EL,227901102,ELEMENTARY,Black or African American,101
2015,AUSTIN ISD,227901,ANDREWS EL,227901102,ELEMENTARY,Asian,15
2015,AUSTIN ISD,227901,ANDREWS EL,227901102,ELEMENTARY,Hispanic/Latino,506
2015,AUSTIN ISD,227901,ANDREWS EL,227901102,ELEMENTARY,Multiracial,-9999999
2015,AUSTIN ISD,227901,ANDREWS EL,227901102,ELEMENTARY,White,32
2015,UNIVERSITY OF TEXAS UNIVERSITY CHA,227806,ANNUNCIATION MATERNITY HOME,227806017,ELEMENTARY / SECONDARY,Black or African American,-9999999
