Campus_Name,Campus_Number,Lat,Lng,Address,Zipcode
AKINS H S,227901017.0,30.1487015,-97.8017043,"10701 S 1st St, Austin, TX 78748, USA",78748
ALLISON EL,227901101.0,30.2358469,-97.691485,"515 Vargas Rd, Austin, TX 78741, USA",78741
ALTERNATIVE LEARNING CENTER,227901012.0,30.255675300000004,-97.6971523,"4900 Gonzales St, Austin, TX 78702, USA",78702
ANDERSON H S,227901009.0,30.375657,-97.75278990000001,"8403 Mesa Dr, Austin, TX 78759, USA",78759
ANDREWS EL,227901102.0,30.317534000000002,-97.6796683,"6801 Northeast Dr, Austin, TX 78723, USA",78723
AUSTIN H S,227901002.0,30.273557699999998,-97.7667348,"1715 W Cesar Chavez St, Austin, TX 78703, USA",78703
BAILEY M S,227901059.0,30.164015000000003,-97.8727663,"4020 Lost Oasis Hollow, Austin, TX 78739, USA",78739
BALDWIN EL,227901187.0,30.1848897,-97.92345300000001,"12200 Meridian Park Blvd, Austin, TX 78739, USA",78739
BARANOFF EL,227901182.0,30.153903000000003,-97.85216390000001,"12009 Buckingham Gate Rd, Austin, TX 78748, USA",78748
BARRINGTON EL,227901149.0,30.3605295,-97.6960642,"400 Cooper Dr, Austin, TX 78753, USA",78753
BARTON HILLS EL,227901103.0,30.254168800000002,-97.7831737,"2108 Barton Hills Dr, Austin, TX 78704, USA",78704
BECKER EL,227901104.0,30.2503357,-97.7596416,"906 W Milton St, Austin, TX 78704, USA",78704
BEDICHEK M S,227901054.0,30.195123,-97.78717850000001,"6800 Bill Hughes Rd, Austin, TX 78745, USA",78745
BLACKSHEAR EL,227901105.0,30.266967200000003,-97.72216850000001,"1712 E 11th St, Austin, TX 78702, USA",78702
BLANTON EL,227901106.0,30.3069305,-97.6906309,"5408 Westminster Dr, Austin, TX 78723, USA",78723
BLAZIER EL,227901185.0,30.1561657,-97.7514525,"8601 Vertex Blvd, Austin, TX 78744, USA",78744
BOONE EL,227901170.0,30.203902600000003,-97.84037640000001,"8101 Croftwood Dr, Austin, TX 78749, USA",78749
BOWIE H S,227901013.0,30.187653499999996,-97.8584973,"4103 W Slaughter Ln, Austin, TX 78749, USA",78749
BRENTWOOD EL,227901107.0,30.3320636,-97.7073887,"601 E St Johns Ave, Austin, TX 78757, USA",78757
