CAMPUS,C200A001S16R,C200AM01S16R,C200AR01S16R,C300A001S16R,C300AM01S16R,C300AR01S16R,C400A001S16R,C400AM01S16R,C400AR01S16R,CA00A001S16R,CA00AM01S16R,CA00AR01S16R,CB00A001S16R,CB00AM01S16R,CB00AR01S16R,CE00A001S16R,CE00AM01S16R,CE00AR01S16R,CF00A001S16R,CF00AM01S16R,CF00AR01S16R,CH00A001S16R,CH00AM01S16R,CH00AR01S16R,CI00A001S16R,CI00AM01S16R,CI00AR01S16R,CL00A001S16R,CL00AM01S16R,CL00AR01S16R,CM00A001S16R,CM00AM01S16R,CM00AR01S16R,CR00A001S16R,CR00AM01S16R,CR00AR01S16R,CS00A001S16R,CS00AM01S16R,CS00AR01S16R,CW00A001S16R,CW00AM01S16R,CW00AR01S16R
'227803001,91,83,88,84,-1,88,.,.,.,57,53,62,53,-1,73,49,46,53,60,57,64,52,49,56,-1,-1,-1,33,35,35,54,49,59,43,38,47,30,24,37,81,79,86
'227803101,87,80,90,92,100,100,.,.,.,76,76,76,-1,-1,-1,62,62,64,77,76,83,71,74,70,-1,-1,-1,49,56,39,75,77,71,62,63,63,29,-1,36,82,79,83
'227803102,79,-1,-1,100,-1,-1,-1,-1,-1,61,70,64,30,-1,-1,57,66,58,64,70,69,58,68,60,.,.,.,54,67,53,58,69,58,54,66,56,25,40,-1,85,86,93
'227803103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227804101,76,91,69,95,100,94,.,.,.,85,89,84,78,82,75,79,83,79,87,90,87,80,79,80,.,.,.,68,75,64,83,87,81,69,77,68,55,63,54,92,96,89
'227804102,-1,-1,-1,100,100,100,.,.,.,87,89,85,78,78,78,76,83,69,89,89,89,84,91,77,.,.,.,81,89,72,84,89,80,79,85,73,90,100,-1,95,94,97
'227805041,.,.,.,.,.,.,.,.,.,78,83,68,78,82,68,79,84,72,75,74,65,78,-1,-1,.,.,.,.,.,.,81,92,72,65,73,53,48,56,-1,-1,-1,-1
'227805101,-1,-1,-1,.,.,.,.,.,.,73,71,75,73,70,76,66,66,68,77,72,79,62,70,60,.,.,.,.,.,.,69,70,71,40,40,47,-1,-1,-1,.,.,.
'227806005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
