CAMPUS,CD200A001S18R,CD200AM01S18R,CD200AR01S18R,CD300A001S18R,CD300AM01S18R,CD300AR01S18R,CD400A001S18R,CD400AM01S18R,CD400AR01S18R,CDA00A001S18R,CDA00AM01S18R,CDA00AR01S18R,CDB00A001S18R,CDB00AM01S18R,CDB00AR01S18R,CDE00A001S18R,CDE00AM01S18R,CDE00AR01S18R,CDF00A001S18R,CDF00AM01S18R,CDF00AR01S18R,CDH00A001S18R,CDH00AM01S18R,CDH00AR01S18R,CDI00A001S18R,CDI00AM01S18R,CDI00AR01S18R,CDL00A001S18R,CDL00AM01S18R,CDL00AR01S18R,CDM00A001S18R,CDM00AM01S18R,CDM00AR01S18R,CDR00A001S18R,CDR00AM01S18R,CDR00AR01S18R,CDS00A001S18R,CDS00AM01S18R,CDS00AR01S18R,CDW00A001S18R,CDW00AM01S18R,CDW00AR01S18R
'227803001,-1,-1,-1,-1,-1,-1,.,.,.,62,69,61,67,-1,-1,56,67,55,63,67,65,58,66,57,-1,-1,-1,46,61,-1,61,70,57,51,60,51,34,-1,-1,80,84,78
'227803101,84,86,86,100,100,100,.,.,.,79,77,84,59,-1,-1,67,67,72,82,82,87,72,73,78,.,.,.,-1,-1,-1,76,73,81,62,63,66,-1,-1,-1,84,81,88
'227803102,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,77,66,-1,-1,-1,61,74,62,68,75,71,65,77,66,.,.,.,65,76,67,63,79,61,59,72,60,-1,-1,-1,79,86,86
'227803103,-1,-1,-1,-1,-1,-1,.,.,.,46,56,47,-1,-1,-1,41,55,41,50,-1,56,47,55,49,.,.,.,45,-1,-1,43,54,39,39,51,-1,-1,-1,-1,62,-1,-1
'227804101,87,94,83,99,100,96,.,.,.,87,91,88,78,82,75,76,87,77,88,92,93,79,85,82,.,.,.,70,78,70,86,90,84,72,80,75,-1,-1,-1,94,96,95
'227804102,-1,-1,-1,100,-1,-1,.,.,.,86,87,85,-1,-1,-1,78,-1,78,87,86,89,71,76,-1,.,.,.,-1,-1,-1,85,89,81,70,75,-1,-1,-1,-1,95,95,95
'227805041,-1,-1,-1,.,.,.,.,.,.,68,67,63,68,66,63,66,65,61,69,67,66,-1,-1,-1,.,.,.,.,.,.,67,67,59,-1,-1,-1,-1,-1,-1,.,.,.
'227805101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806005,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.,-1,-1,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,-1,.,-1,-1,.,-1
'227806009,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1
