CAMPUS,CD000A001S19R,CD000AM01S19R,CD000AR01S19R,CD200A001S19R,CD200AM01S19R,CD200AR01S19R,CD300A001S19R,CD300AM01S19R,CD300AR01S19R,CD400A001S19R,CD400AM01S19R,CD400AR01S19R,CDA00A001S19R,CDA00AM01S19R,CDA00AR01S19R,CDB00A001S19R,CDB00AM01S19R,CDB00AR01S19R,CDE00A001S19R,CDE00AM01S19R,CDE00AR01S19R,CDF00A001S19R,CDF00AM01S19R,CDF00AR01S19R,CDH00A001S19R,CDH00AM01S19R,CDH00AR01S19R,CDI00A001S19R,CDI00AM01S19R,CDI00AR01S19R,CDL00A001S19R,CDL00AM01S19R,CDL00AR01S19R,CDM00A001S19R,CDM00AM01S19R,CDM00AR01S19R,CDR00A001S19R,CDR00AM01S19R,CDR00AR01S19R,CDS00A001S19R,CDS00AM01S19R,CDS00AR01S19R,CDW00A001S19R,CDW00AM01S19R,CDW00AR01S19R,CNC00A001S19R,CNC00AM01S19R,CNC00AR01S19R,CNM00A001S19R,CNM00AM01S19R,CNM00AR01S19R,CNS00A001S19R,CNS00AM01S19R,CNS00AR01S19R
'227803001,53,58,45,53,60,40,100,100,100,.,.,.,60,63,57,58,70,57,57,62,51,63,65,58,58,61,54,-1,-1,-1,46,53,38,58,60,55,50,54,45,33,28,31,74,71,75,64,65,60,57,60,54,61,59,47
'227803101,58,60,53,83,88,76,80,-1,-1,.,.,.,80,82,82,73,75,83,65,69,65,87,86,89,73,72,78,.,.,.,50,54,46,74,78,75,68,70,67,36,38,38,87,89,87,83,85,84,73,74,77,-1,-1,-1
'227803102,73,79,71,88,-1,-1,-1,-1,-1,.,.,.,74,78,74,63,69,63,71,77,69,75,78,76,73,77,73,.,.,.,71,77,68,73,78,73,70,78,68,37,50,40,88,84,88,76,82,73,70,68,77,50,67,33
'227803103,53,63,58,38,-1,-1,100,-1,-1,.,.,.,58,65,63,48,63,38,53,59,60,65,68,73,55,61,61,.,.,.,52,62,57,51,61,54,54,61,62,20,19,31,87,89,95,59,63,66,57,66,60,89,-1,-1
'227804101,78,82,75,93,88,93,98,97,97,.,.,.,88,90,86,81,80,80,78,82,76,88,90,89,76,81,75,.,.,.,68,74,66,87,90,84,69,77,64,59,69,49,97,99,94,86,91,85,90,88,88,86,94,89
'227804102,74,82,65,100,-1,-1,93,100,86,.,.,.,80,82,78,56,50,63,67,71,63,83,84,82,67,72,61,-1,-1,-1,68,79,57,76,79,74,68,75,61,20,20,20,87,88,85,84,86,81,62,62,62,50,-1,-1
'227805041,-1,-1,-1,75,-1,-1,.,.,.,.,.,.,68,73,65,69,74,67,65,70,62,73,74,70,58,64,48,.,.,.,-1,-1,-1,64,71,62,47,60,43,39,48,36,.,.,.,78,79,79,60,68,54,25,-1,-1
'227805101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806017,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.,-1,-1,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.
'227806023,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806024,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
