Element Name,Description
CB00A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, African American All Tests Rate"
CA00A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, All Students All Tests Rate"
CI00A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, American Indian All Tests Rate"
C300A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Asian All Tests Rate"
CR00A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, At Risk All Tests Rate"
CL00A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, ELL All Tests Rate"
CE00A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Econ Disadv All Tests Rate"
CF00A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Female All Tests Rate"
CH00A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Hispanic All Tests Rate"
CM00A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Male All Tests Rate"
C400A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Pacific Islander All Tests Rate"
CS00A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Special Ed All Tests Rate"
C200A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Two or More Races All Tests Rate"
CW00A001S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, White All Tests Rate"
CB00AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, African American Reading/ELA Rate"
CA00AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, All Students Reading/ELA Rate"
CI00AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, American Indian Reading/ELA Rate"
C300AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Asian Reading/ELA Rate"
CR00AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, At Risk Reading/ELA Rate"
CL00AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, ELL Reading/ELA Rate"
CE00AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Econ Disadv Reading/ELA Rate"
CF00AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Female Reading/ELA Rate"
CH00AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Hispanic Reading/ELA Rate"
CM00AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Male Reading/ELA Rate"
C400AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Pacific Islander Reading/ELA Rate"
CS00AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Special Ed Reading/ELA Rate"
C200AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Two or More Races Reading/ELA Rate"
CW00AR01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, White Reading/ELA Rate"
