NAME,TYPE,LENGTH,LABEL
CDB00A001S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, African American All Tests Rate"
CDB00AM01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, African American Mathematics Rate"
CDB00AR01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, African American Reading/ELA Rate"
CDB00AC01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, African American Science Rate"
CDB00AS01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, African American Social Studies Rate"
CDB00AW01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, African American Writing Rate"
CDA00A001S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, All Students All Tests Rate"
CDA00AM01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, All Students Mathematics Rate"
CDA00AR01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, All Students Reading/ELA Rate"
CDA00AC01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, All Students Science Rate"
CDA00AS01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, All Students Social Studies Rate"
CDA00AW01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, All Students Writing Rate"
CDI00A001S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, American Indian All Tests Rate"
CDI00AM01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, American Indian Mathematics Rate"
CDI00AR01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, American Indian Reading/ELA Rate"
CDI00AC01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, American Indian Science Rate"
CDI00AS01S18R,Numeric,8,"Campus 2018 Domain 1A: Approaches Grade Level STD, Summed Grades 3-12, American Indian Social Studies Rate"
