Street Address,Zip Code,List Price,Lat,Long,Tax Ammount,School Dist,List Date
"2228 S Lamar BLVD, Austin TX 78704",78704,2000000,30.247823,-97.77326,13712.0,,2015-01-29
"913 E 12th ST, Austin TX 78702",78702,500000,30.271967,-97.729721,3570.0,,2015-03-01
"3821 Juniper TRCE # 207, Austin TX 78738",78738,400000,30.307804,-97.933612,6038.0,,2015-06-27
"1008 Main ST, Bastrop TX 78602",78602,300000,30.110873,-97.320438,6008.0,,2015-07-17
"10880 E Crystal Falls PKWY, Leander TX 78641",78641,2000000,30.566044,-97.814137,5.0,,2015-07-28
"2514 A E Cesar Chavez ST, Austin TX 78702",78702,300000,30.254113,-97.715476,9355.0,,2015-05-22
"1103 S Ranch Road 620, Lakeway TX 78734",78734,2000000,30.351627,-97.962213,21140.0,,2015-06-01
"150 Settlement DR, Bastrop TX 78602",78602,1000000,30.114269,-97.347675,33458.0,,2015-07-11
"315 Riverwood DR, Bastrop TX 78602",78602,300000,30.123533,-97.344012,4060.0,,2015-06-08
"trac 22 W Heritage US 290, Austin TX 78737",78737,400000,30.210211,-97.990687,3681.0,,2015-06-15
"11001 W U S Hwy 290, Austin TX 78737",78737,800000,30.220646,-97.956621,5257.3,,2015-04-02
"Tract 2.5 Ac. Right front US 290, Dripping Springs TX 78620",78620,1000000,30.202096,-98.153318,17312.0,,2015-04-14
"806 W 29th ST, Austin TX 78705",78705,1000000,30.297163,-97.745484,11550.0,,2015-05-11
"202 E Anderson AVE, Round Rock TX 78664",78664,200000,30.511434,-97.678551,1773.0,,2015-08-19
"8579 State Hwy 31 W, Other TX 75751",75751,500000,32.190403,-95.923305,6305.0,,2015-10-01
,78645,5000000,30.428185,-97.959225,44490.0,,2015-12-10
"5501 La Crosse, Austin TX 78738",78738,2000000,30.191683,-97.878697,133027.34,,2015-11-03
"13010 Harris Branch PKWY, Austin TX 78653",78653,400000,30.380483,-97.607519,2147.0,,2015-10-27
"398 1/2 W Walter Hoffman RD, Cedar Creek TX 78602",78602,30000,30.081817,-97.415774,459.0,Bastrop ISD,2015-04-10
"1234 FM 2843, Florence TX 76527",76527,400000,30.862637,-97.741735,400.0,Florence ISD,2015-04-13
"112 Hills WAY, Horseshoe Bay TX 78657",78657,600000,30.548142,-98.41456,6598.0,Llano ISD,2015-04-13
"319 Acorn LN, Killeen TX 76542",76542,200000,30.988756,-97.714667,311.0,Florence ISD,2015-05-25
"2121 CR 441, Harwood TX 78632",78632,100000,29.720416,-97.420553,17.0,Waelder ISD,2015-05-22
"9.98 Acres County Rd 304, Bertram TX 78605",78605,70000,30.751637,-98.132271,15.0,Burnet ISD,2015-04-27
"106 Reed RD, Valley Spring TX 76885",76885,500000,30.129095,-95.365255,7800.0,Llano ISD,2015-05-25
"4919 Harold RD, Waelder TX 78941",78941,100000,29.789074,-97.273707,1933.0,Flatonia ISD,2015-08-16
"172 Hills Prairie RD, Bastrop TX 78602",78602,400000,30.046211,-97.319684,4000.0,Bastrop ISD,2015-11-10
"105 Circle DR, Wimberley TX 78676",78676,200000,30.047556,-98.215253,1692.0,Wimberley ISD,2015-09-01
"4610 290 HWY, Dripping Springs TX 78620",78620,500000,30.197968,-98.169314,5685.0,Dripping Springs ISD,2015-09-01
"2301 County Road 279, Leander TX 78641",78641,600000,30.63442,-97.904321,10076.0,Liberty Hill ISD,2015-11-13
"TBD Zimmerhanzel Rd., Kovar TX 78957",78957,2000000,29.915333,-97.217302,305.0,Smithville ISD,2015-11-17
"TBD N. Cedar Creek RD, Cedar Creek TX 78612",78612,400000,30.090835,-97.493197,77.0,Bastrop ISD,2015-11-06
"0 E Side Hwy 2657, Kempner TX 76539",76539,200000,31.0719,-97.92207,87.0,Lampasas ISD,2015-10-09
"1185 County Road 258, Bertram TX 78605",78605,500000,30.760809,-98.10028,3080.0,Burnet ISD,2015-10-11
"00 County Road 1255, Copperas Cove TX 76522",76522,2000000,29.888769,-94.807066,583.0,Lampasas ISD,2015-09-29
"2844 Hwy 290 and CR 360, McDade TX 78650",78650,2000000,30.242623,-97.212189,664.14,McDade ISD,2015-09-30
"496 CR 232L, Rockdale TX 76567",76567,50000,30.758521,-96.982281,382.31,Rockdale ISD,2015-10-19
"0 Cotton Gin Road, Uhland TX 78640",78640,200000,29.973907,-97.804404,65.0,Hays ISD,2015-10-13
"800 County Road 454, Taylor TX 76574",76574,70000,30.479839,-97.390185,989.0,Taylor ISD,2015-10-29
"15201 Chaparral DR, Leander TX 78641",78641,100000,30.594147,-97.963464,3516.0,Leander ISD,2015-12-28
"3148 Highway 290, Paige TX 78659",78659,400000,30.225316,-97.165122,1524.0,McDade ISD,2015-12-06
"112 River Valley DR, Georgetown TX 78626",78626,300000,30.658206,-97.60351,0.0,Georgetown ISD,2015-12-09
"1146 Private Road 2003 GRV, Paige TX 78659",78659,300000,30.187898,-97.01603,3576.0,Giddings ISD,2015-01-02
"0 Kinsey TRL, Luling TX 78648",78648,50000,29.744644,-97.685716,821.0,Luling ISD,2015-02-12
"5636 County Road 1255, Lampasas TX 76550",76550,600000,31.053413,-98.335825,220.0,Lampasas ISD,2015-02-13
"1928 FM 1579, Schulenburg TX 78956",78956,600000,29.678957,-96.871453,972.0,Schulenburg ISD,2015-02-24
"4701 Lone Man Mountain RD, Wimberley TX 78676",78676,900000,30.054318,-98.040917,7892.0,Wimberley ISD,2015-03-02
"2425 Ranch Road 165, Henly TX 78620",78620,400000,30.172365,-98.24048,16.63,Johnson City ISD,2015-01-05
,78620,700000,30.27116,-98.128919,10037.0,Dripping Springs ISD,2015-02-26
"0 Big Sandy RD, Johnson City TX 78636",78636,300000,30.345294,-98.446175,31.81,Johnson City ISD,2015-01-16
"2844 County Road 320, Lexington TX 78947",78947,100000,30.480434,-97.038261,2021.0,Lexington ISD,2015-01-21
"811 High Crossing RD, Smithville TX 78957",78957,200000,29.954083,-97.218568,318.0,Smithville ISD,2015-01-30
"0 Knight LN, Harwood TX 78632",78632,200000,29.803076,-97.478254,16.0,Lockhart ISD,2015-01-29
"13713 N Fm 487, Buckholts TX 76518",76518,50000,30.747182,-97.168161,536.0,Rockdale ISD,2015-02-06
"1798 Trails End RD, Johnson City TX 78636",78636,500000,30.330518,-98.448261,908.0,Johnson City ISD,2015-02-05
"0 Cedar Hills DR, Elgin TX 78621",78621,200000,30.285164,-97.343918,2187.0,Elgin ISD,2015-03-19
"000 N Highway 77, Giddings TX 78942",78942,100000,30.176279,-96.93676,12.0,Giddings ISD,2015-03-09
"4445 W Fm 696, Lexington TX 78947",78947,500000,30.386603,-97.156577,5702.0,Lexington ISD,2015-03-12
"530 Abbey RD, Liberty Hill TX 78642",78642,600000,30.765606,-97.913568,6995.0,Liberty Hill ISD,2015-03-16
"859 Rio Escondido RD, Harper TX 78631",78631,7000000,30.231014,-99.210645,28000.0,Harper ISD,2015-03-07
"0 Deike Drive, Johnson City TX 78636",78636,500000,30.257485,-98.503286,50.0,Johnson City ISD,2015-06-18
"1351 County Road 144, Georgetown TX 78626",78626,300000,30.754713,-97.614854,2192.0,Jarrell ISD,2015-06-22
"140 Spencewood DR, Bastrop TX 78602",78602,800000,30.098798,-97.398678,8107.0,Bastrop ISD,2015-06-19
"1163 Private Road 6002, Giddings TX 78942",78942,700000,30.13828,-97.018814,4733.0,Giddings ISD,2015-04-07
"738 FM 969, Bastrop TX 78602",78602,2000000,30.134649,-97.394153,177.0,Bastrop ISD,2015-04-10
"000 CR 235, Minerva TX 76567",76567,60000,30.758388,-96.987864,47.0,Rockdale ISD,2015-04-02
"3425 Old Marble Falls RD, Round Mountain TX 78663",78663,500000,30.473601,-98.322337,6855.0,Johnson City ISD,2015-04-27
"0 S FM 2104, Smithville TX 78659",78659,300000,30.164581,-97.083928,55.0,Smithville ISD,2015-07-29
"10961 FM 967, Buda TX 78610",78610,1000000,30.120439,-97.995758,8449.0,Hays ISD,2015-08-07
"250 Amber Oaks, Burnet TX 78611",78611,400000,30.682782,-98.283685,3292.0,Marble Falls ISD,2015-07-20
"1 County Road 354, Granger TX 76530",76530,100000,30.74616,-97.431214,186.0,Granger ISD,2015-07-07
