,project_id,program,unit_type,affordability_start_year,affordability_expiration_year,longitude,latitude,total_units,total_affordable_units
0,5062,Developer Incentive,Single Family,2008,2009,-97.695808,30.197754999999997,1,1
1,5034,Developer Incentive,Single Family,2007,2008,-97.695495,30.19616,1,1
2,3674,NHCD Program,Single Family,2009,2019,-97.69151541137909,30.229578597040895,1,1
3,5339,Developer Incentive,Single Family,2017,2018,-97.699051,30.295161,1,1
4,4075,Developer Incentive,Single Family,2016,2017,-97.69680023,30.29389954,1,1
5,5351,Developer Incentive,Single Family,2017,2018,-97.698977,30.299947999999997,1,1
6,4301,Developer Incentive,Single Family,2014,2015,-97.70059967,30.29710007,1,1
7,3225,NHCD Program,Multifamily,2009,2108,-97.70841372186871,30.2820072186666,150,140
8,4997,Developer Incentive,Single Family,2007,2008,-97.694198,30.197676,1,1
9,4404,Developer Incentive,Multifamily,2019,2059,-97.80475600000001,30.123941,320,32
10,4894,Developer Incentive,Single Family,2012,2013,-97.768598,30.138109999999998,1,1
11,3423,NHCD Program,Single Family,2013,2023,-97.68177056381072,30.311313637160602,1,1
12,3274,NHCD Program,Single Family,2009,2108,-97.71634937727622,30.267094606028298,1,1
13,3394,NHCD Program,FourPlex,2015,2114,-97.80299658484181,30.2279505045048,4,2
14,4521,NHCD Program,Single Family,2016,2026,-97.83030500000001,30.192665,1,1
15,3840,Developer Incentive,Multifamily,2014,2055,-97.727183,30.243505,500,13
16,4990,Developer Incentive,Single Family,2006,2007,-97.695025,30.199054999999998,1,1
17,5461,NHCD Program,Single Family,1993,2023,-97.723054,30.266717,1,1
18,4249,Developer Incentive,Single Family,2009,2010,-97.70240021,30.29310036,1,1
19,4888,Developer Incentive,Single Family,2011,2011,-97.768045,30.137731,1,1
20,3607,Developer Incentive,Multifamily,2014,2055,-97.7622667885446,30.2540894703905,95,10
21,4321,Developer Incentive,Single Family,2014,2015,-97.70050049,30.29879951,1,1
22,3275,NHCD Program,Single Family,2009,2108,-97.7162387220264,30.2672397186309,1,1
23,3252,NHCD Program,Single Family,2006,2026,-97.76324137826691,30.24261574799,3,3
24,5117,Developer Incentive,Single Family,2011,2012,-97.69809599999999,30.197813,1,1
25,3565,Developer Incentive,Multifamily,2008,2024,-97.7434636763484,30.2911102238676,364,36
26,4295,Developer Incentive,Single Family,2014,2015,-97.70249939,30.29710007,1,1
27,4771,Developer Incentive,Single Family,2006,2007,-97.770413,30.139892,1,1
28,4093,Developer Incentive,Single Family,2008,2009,-97.70410156,30.29380035,1,1
29,4797,Developer Incentive,Single Family,2007,2008,-97.769155,30.139321000000002,1,1
30,3587,Developer Incentive,Multifamily,2015,2030,-97.7481752993404,30.2905892714381,206,21
31,5076,Developer Incentive,Single Family,2008,2009,-97.69721,30.197909999999997,1,1
32,5448,NHCD Program,Single Family,1993,2023,-97.724124,30.266574,1,1
33,4115,Developer Incentive,Single Family,2008,2009,-97.70320129,30.29089928,1,1
34,5223,NHCD Program,Single Family,2018,2033,-97.645126,30.306665000000002,1,1
35,3577,Developer Incentive,Multifamily,2012,2028,-97.75048641253099,30.288689853930396,70,7
36,4525,NHCD Program,Single Family,2017,2027,-97.83030500000001,30.192655,1,1
37,3538,Developer Incentive,Multifamily,2017,2022,-97.6448819144268,30.388806594124198,216,216
38,3615,Developer Incentive,Multifamily,2017,2057,-97.7594706378088,30.231442142477697,20,2
39,5176,Developer Incentive,Single Family,2013,2014,-97.701539,30.19835,1,1
40,3351,NHCD Program,Single Family,2012,2022,-97.64843838630729,30.2933873414562,1,1
41,4477,Developer Incentive,Multifamily,2017,2032,-97.707146,30.308804,0,0
42,3768,Private Activity Bonds,Multifamily,2017,2032,-97.681344,30.364434999999997,172,155
43,3743,Developer Incentive,Duplex,2016,2021,-97.727998,30.265970000000003,2,2
44,3437,NHCD Program,Single Family,2009,2019,-97.6810063334657,30.3103843964822,1,1
45,4825,Developer Incentive,Single Family,2007,2008,-97.769515,30.139521999999996,1,1
46,5063,Developer Incentive,Single Family,2008,2009,-97.69586,30.197615999999996,1,1
47,5441,Private Activity Bonds,Multifamily,2016,2091,-97.70360600000001,30.319351,104,104
48,3896,Developer Incentive,Multifamily,2018,2068,-97.70043000000001,30.3007,201,30
49,3608,Developer Incentive,Multifamily,2014,2055,-97.7395692871635,30.330122202764397,103,10
50,3451,NHCD Program,Single Family,2009,2024,-97.7599186337032,30.1789305192825,1,1
51,4484,NHCD Program,Single Family,2017,2027,-97.83030500000001,30.192655,1,1
52,5054,Developer Incentive,Single Family,2008,2009,-97.696353,30.197009,1,1
53,5541,NHCD Program,Multifamily,2018,2117,-97.72018,30.274379999999997,1,1
54,3651,NHCD Program,Single Family,2007,2017,-97.69207381293579,30.228166580597,1,1
55,3597,Developer Incentive,Multifamily,2020,2021,-97.739040841415,30.258393429391898,173,9
56,5102,Developer Incentive,Single Family,2010,2011,-97.69693000000001,30.196481,1,1
57,4861,Developer Incentive,Single Family,2009,2010,-97.768834,30.138678000000002,1,1
58,4865,Developer Incentive,Single Family,2010,2011,-97.766238,30.138564000000002,1,1
59,3417,NHCD Program,Single Family,2010,2020,-97.6821362655283,30.311323593986803,1,1
60,4860,Developer Incentive,Single Family,2009,2010,-97.770167,30.138895,1,1
61,3636,NHCD Program,Single Family,2016,2031,-97.69853067199449,30.2378873278578,1,1
62,4113,Developer Incentive,Single Family,2008,2009,-97.70320129,30.29030037,1,1
63,4111,Developer Incentive,Single Family,2008,2009,-97.70359802,30.29070091,1,1
64,4424,Developer Incentive,Single Family,2017,2018,-97.761255,30.179369,1,1
65,4178,Developer Incentive,Single Family,2008,2009,-97.70050049,30.29260063,1,1
66,4958,Developer Incentive,Single Family,2006,2007,-97.695225,30.195953000000003,1,1
67,4068,Developer Incentive,Single Family,2016,2017,-97.69589996,30.29430008,1,1
68,3411,NHCD Program,Single Family,2009,2019,-97.6823853026692,30.312194702840902,1,1
69,3930,Developer Incentive,Single Family,2017,2022,-97.728433,30.338875,1,1
70,4498,NHCD Program,Single Family,2016,2026,-97.83030500000001,30.192655,1,1
71,4840,Developer Incentive,Single Family,2008,2009,-97.767772,30.139461999999998,1,1
72,4187,Developer Incentive,Single Family,2008,2009,-97.70079803,30.29210091,1,1
73,4322,Developer Incentive,Single Family,2014,2015,-97.70059967,30.29879951,1,1
74,3959,Developer Incentive,Multifamily,2016,2021,-97.731273,30.268964,290,29
75,4941,Developer Incentive,Single Family,2014,2015,-97.767974,30.143029,1,1
76,3387,NHCD Program,Multifamily,2014,2054,-97.73808578368829,30.271752180156803,135,135
77,4283,Developer Incentive,Single Family,2011,2012,-97.70050049,30.29019928,1,1
78,4979,Developer Incentive,Single Family,2006,2007,-97.69301899999999,30.198456,1,1
79,3665,NHCD Program,Single Family,2008,2018,-97.6907755951081,30.231110002594498,1,1
80,3449,NHCD Program,Single Family,2010,2025,-97.7603209835483,30.1791289559075,1,1
81,4425,Developer Incentive,Single Family,2017,2018,-97.761121,30.179333000000003,1,1
82,5135,Developer Incentive,Single Family,2012,2013,-97.69716899999999,30.198715999999997,1,1
83,5042,Developer Incentive,Single Family,2007,2008,-97.69224399999999,30.200213,1,1
84,4910,Developer Incentive,Single Family,2012,2013,-97.766646,30.140176,1,1
85,3420,NHCD Program,Single Family,2013,2023,-97.6820724566489,30.312358572730798,6,6
86,5528,Developer Incentive,Multifamily,2019,2118,-97.752302,30.254740999999996,1,1
87,4978,Developer Incentive,Single Family,2006,2007,-97.694709,30.195802,1,1
88,4791,Developer Incentive,Single Family,2007,2008,-97.768249,30.140603000000002,1,1
89,3269,NHCD Program,FourPlex,2012,2111,-97.6788623309976,30.305737961267198,4,4
90,5329,Developer Incentive,Single Family,2017,2018,-97.699038,30.294709,1,1
91,3323,NHCD Program,Duplex,2009,2049,-97.71731981858869,30.2703971161874,2,2
92,4837,Developer Incentive,Single Family,2008,2018,-97.76705,30.139056,1,1
93,3333,NHCD Program,Single Family,2013,2023,-97.6480540111459,30.294298225374998,1,1
94,3230,NHCD Program,Multifamily,2011,2110,-97.74139549566759,30.231460272933504,120,120
95,4904,Developer Incentive,Single Family,2012,2013,-97.767894,30.138173,1,1
96,4909,Developer Incentive,Single Family,2012,2013,-97.766377,30.14183,1,1
97,4096,Developer Incentive,Single Family,2008,2009,-97.70570374,30.29330063,1,1
98,3811,NHCD Program,Single Family,2016,2115,-97.705201,30.264877000000002,1,1
99,4937,Developer Incentive,Single Family,2014,2015,-97.766761,30.142883,1,1
100,4830,Developer Incentive,Single Family,2008,2009,-97.76728299999999,30.139179,1,1
101,5024,Developer Incentive,Single Family,2007,2008,-97.695542,30.196741999999997,1,1
102,3248,NHCD Program,Single Family,2002,2022,-97.79082191426649,30.1950468158668,3,3
103,3960,Developer Incentive,Multifamily,2019,2059,-97.714957,30.316671000000003,194,19
104,5101,Developer Incentive,Single Family,2010,2011,-97.69735899999999,30.195861999999998,1,1
105,4877,Developer Incentive,Single Family,2011,2012,-97.76736899999999,30.137906,1,1
106,3652,NHCD Program,Single Family,2007,2017,-97.6915783832608,30.2286045620116,1,1
107,3376,NHCD Program,Single Family,2012,2022,-97.64729007724951,30.2949075213409,1,1
108,4026,Developer Incentive,Single Family,2015,2016,-97.69629669,30.29269981,1,1
109,4304,Developer Incentive,Single Family,2014,2015,-97.70059967,30.296899800000002,1,1
110,3555,Developer Incentive,Multifamily,2008,2023,-97.7432066152494,30.292070400310198,88,9
111,3369,NHCD Program,Single Family,2012,2022,-97.64699703066509,30.294464450514198,1,1
112,4041,Developer Incentive,Single Family,2015,2016,-97.69719696,30.29220009,1,1
113,4277,Developer Incentive,Single Family,2011,2012,-97.70030212,30.29089928,1,1
114,4293,Developer Incentive,Single Family,2013,2014,-97.70249939,30.29710007,1,1
115,4382,Developer Incentive,Single Family,2013,2014,-97.70120239,30.29990005,1,1
116,4069,Developer Incentive,Single Family,2016,2017,-97.69589996,30.294200899999996,1,1
117,4139,Developer Incentive,Single Family,2008,2009,-97.70400238,30.124882,1,1
118,4949,Developer Incentive,Single Family,2015,2016,-97.76566700000001,30.136756,1,1
119,3800,Developer Incentive,Single Family,2014,2015,-97.726577,30.270019,1,1
120,5343,Developer Incentive,Single Family,2017,2018,-97.700027,30.299894000000002,1,1
121,4306,Developer Incentive,Single Family,2013,2014,-97.70059967,30.296899800000002,1,1
122,5012,Developer Incentive,Single Family,2007,2008,-97.692163,30.200768,1,1
